iter	Passed	Remaining
419	2174	3002
420	2178	2995
421	2182	2989
422	2187	2983
423	2191	2977
424	2196	2972
425	2200	2965
426	2205	2958
427	2209	2953
428	2214	2947
429	2219	2941
430	2223	2935
431	2228	2930
432	2233	2925
433	2238	2919
434	2244	2914
435	2248	2908
436	2252	2902
437	2257	2896
438	2262	2891
439	2266	2885
440	2271	2879
441	2276	2873
442	2280	2867
443	2286	2862
444	2292	2859
445	2298	2854
446	2302	2848
447	2310	2847
448	2316	2842
449	2321	2837
450	2326	2832
451	2332	2827
452	2337	2823
453	2343	2817
454	2347	2811
455	2351	2805
456	2357	2800
457	2362	2796
458	2367	2790
459	2373	2786
460	2378	2780
461	2382	2774
462	2387	2769
463	2392	2763
464	2396	2757
465	2400	2751
466	2406	2747
467	2411	2741
468	2415	2734
469	2421	2730
470	2426	2724
471	2430	2718
472	2435	2713
473	2440	2707
474	2444	2702
475	2448	2695
476	2454	2691
477	2459	2686
478	2463	2679
479	2469	2675
480	2474	2669
481	2478	2663
482	2483	2658
483	2488	2652
484	2493	2648
485	2499	2643
486	2504	2638
487	2509	2632
488	2513	2626
489	2517	2620
490	2522	2614
491	2526	2608
492	2532	2604
493	2537	2598
494	2541	2592
495	2545	2586
496	2549	2580
497	2553	2574
498	2557	2567
499	2562	2562
500	2568	2558
501	2574	2554
502	2580	2549
503	2585	2544
504	2592	2540
505	2597	2535
506	2602	2530
507	2608	2526
508	2613	2520
509	2617	2515
510	2622	2509
511	2626	2503
512	2630	2496
513	2633	2490
514	2637	2484
515	2641	2477
516	2646	2472
517	2650	2466
518	2655	2460
519	2659	2454
520	2663	2448
521	2667	2442
522	2672	2437
523	2676	2431
524	2680	2424
525	2685	2419
526	2690	2414
527	2695	2409
528	2700	2404
529	2705	2399
530	2709	2393
531	2714	2388
532	2721	2384
533	2727	2379
534	2732	2374
535	2738	2370
536	2743	2365
537	2748	2360
538	2753	2355
539	2758	2349
540	2762	2343
541	2767	2338
542	2773	2333
543	2777	2328
544	2782	2322
545	2786	2317
546	2791	2311
547	2795	2305
548	2801	2301
549	2805	2295
550	2809	2289
551	2814	2284
552	2819	2279
553	2823	2273
554	2827	2267
555	2833	2262
556	2837	2256
557	2841	2250
558	2848	2246
559	2852	2241
560	2857	2235
561	2861	2230
562	2867	2225
563	2871	2219
564	2875	2213
565	2880	2208
566	2885	2203
567	2889	2197
568	2895	2192
569	2900	2187
570	2903	2181
571	2908	2175
572	2913	2171
573	2917	2165
574	2921	2159
575	2925	2153
576	2929	2147
577	2934	2142
578	2938	2136
579	2942	2130
580	2947	2125
581	2951	2120
582	2955	2114
583	2962	2110
584	2966	2104
585	2973	2100
586	2979	2096
587	2983	2090
588	2988	2085
589	2994	2080
590	2998	2075
591	3002	2069
592	3007	2064
593	3011	2058
594	3015	2052
595	3020	2047
596	3024	2041
597	3029	2036
598	3033	2030
599	3037	2025
600	3043	2020
601	3047	2014
602	3051	2008
603	3055	2003
604	3060	1998
605	3064	1992
606	3069	1987
607	3075	1982
608	3079	1977
609	3083	1971
610	3088	1966
611	3092	1960
612	3097	1955
613	3101	1949
614	3105	1944
615	3110	1938
616	3114	1933
617	3119	1928
618	3124	1923
619	3129	1917
620	3132	1912
621	3138	1907
622	3142	1901
623	3146	1896
624	3151	1890
625	3156	1885
626	3160	1879
627	3164	1874
628	3169	1869
629	3173	1863
630	3179	1859
631	3186	1855
632	3192	1850
633	3198	1846
634	3204	1842
635	3210	1837
636	3216	1833
637	3222	1828
638	3227	1823
639	3232	1818
640	3237	1812
641	3242	1807
642	3246	1802
643	3251	1797
644	3255	1791
645	3259	1786
646	3263	1780
647	3268	1775
648	3272	1769
649	3276	1764
650	3280	1758
651	3284	1753
652	3288	1747
653	3292	1741
654	3297	1736
655	3301	1731
656	3305	1725
657	3309	1720
658	3314	1715
659	3318	1709
660	3322	1704
661	3326	1698
662	3332	1693
663	3336	1688
664	3340	1682
665	3345	1677
666	3350	1672
667	3354	1667
668	3359	1662
669	3364	1657
670	3368	1651
671	3372	1646
672	3377	1641
673	3384	1637
674	3389	1632
675	3395	1627
676	3399	1622
677	3404	1616
678	3408	1611
679	3413	1606
680	3417	1600
681	3421	1595
682	3426	1590
683	3433	1586
684	3438	1581
685	3443	1576
686	3447	1570
687	3452	1565
688	3456	1560
689	3461	1554
690	3466	1549
691	3470	1544
692	3515	1557
693	3526	1555
694	3536	1552
695	3543	1547
696	3548	1542
697	3557	1539
698	3562	1534
699	3568	1529
700	3575	1524
701	3584	1521
702	3590	1516
703	3594	1511
704	3598	1505
705	3602	1500
706	3606	1494
707	3611	1489
708	3615	1483
709	3620	1478
710	3624	1473
711	3628	1467
712	3633	1462
713	3640	1458
714	3645	1453
715	3650	1448
716	3655	1443
717	3664	1439
718	3671	1434
719	3676	1429
720	3681	1424
721	3686	1419
722	3691	1414
723	3695	1408
724	3699	1403
725	3703	1397
726	3708	1392
727	3711	1386
728	3715	1381
729	3720	1375
730	3724	1370
731	3727	1364
732	3734	1360
733	3738	1354
734	3742	1349
735	3747	1344
736	3751	1338
737	3756	1333
738	3760	1328
739	3764	1322
740	3769	1317
741	3773	1312
742	3778	1306
743	3783	1301
744	3787	1296
745	3791	1290
746	3795	1285
747	3800	1280
748	3804	1274
749	3808	1269
750	3812	1264
751	3817	1258
752	3821	1253
753	3826	1248
754	3831	1243
755	3835	1238
756	3839	1232
757	3843	1227
758	3848	1221
759	3856	1217
760	3862	1212
761	3868	1208
762	3875	1203
763	3881	1199
764	3887	1194
765	3893	1189
766	3899	1184
767	3906	1180
768	3914	1175
769	3922	1171
770	3928	1166
771	3935	1162
772	3939	1156
773	3943	1151
774	3947	1146
775	3952	1140
776	3956	1135
777	3960	1130
778	3966	1125
779	3970	1119
780	3974	1114
781	3978	1109
782	3982	1103
783	3986	1098
784	3990	1093
785	3995	1087
786	3999	1082
787	4003	1077
788	4007	1071
789	4012	1066
790	4016	1061
791	4020	1055
792	4024	1050
793	4031	1045
794	4035	1040
795	4039	1035
796	4044	1030
797	4049	1025
798	4053	1019
799	4058	1014
800	4063	1009
801	4068	1004
802	4073	999
803	4078	994
804	4083	989
805	4088	984
806	4094	979
807	4098	973
808	4102	968
809	4107	963
810	4112	958
811	4117	953
812	4121	948
813	4127	943
814	4131	937
815	4135	932
816	4139	927
817	4149	923
818	4163	920
819	4173	916
820	4182	911
821	4192	907
822	4201	903
823	4210	899
824	4216	894
825	4222	889
826	4227	884
827	4238	880
828	4244	875
829	4248	870
830	4252	864
831	4257	859
832	4261	854
833	4265	849
834	4270	843
835	4275	838
836	4279	833
837	4283	828
838	4287	822
839	4292	817
840	4296	812
841	4300	806
842	4306	802
843	4312	797
844	4317	791
845	4322	786
846	4329	782
847	4338	777
848	4343	772
849	4348	767
850	4353	762
851	4358	757
852	4364	752
853	4374	747
854	4380	742
855	4387	738
856	4395	733
857	4405	729
858	4411	724
859	4418	719
860	4423	714
861	4429	709
862	4434	703
863	4439	698
864	4443	693
865	4448	688
866	4452	683
867	4457	677
868	4462	672
869	4467	667
870	4471	662
871	4475	656
872	4479	651
873	4484	646
874	4488	641
875	4492	635
876	4497	630
877	4501	625
878	4505	620
879	4510	615
880	4514	609
881	4518	604
882	4523	599
883	4530	594
884	4535	589
885	4539	584
886	4546	579
887	4551	574
888	4557	569
889	4571	564
890	4577	559
891	4581	554
892	4588	549
893	4593	544
894	4598	539
895	4604	534
896	4610	529
897	4615	524
898	4619	518
899	4624	513
900	4628	508
901	4633	503
902	4637	498
903	4642	492
904	4646	487
905	4651	482
906	4656	477
907	4660	472
908	4664	466
909	4668	461
910	4674	456
911	4678	451
912	4682	446
913	4686	440
914	4691	435
915	4696	430
916	4700	425
917	4704	420
918	4709	415
919	4713	409
920	4718	404
921	4723	399
922	4727	394
923	4732	389
924	4737	384
925	4742	378
926	4746	373
927	4750	368
928	4755	363
929	4759	358
930	4764	353
931	4769	347
932	4773	342
933	4777	337
934	4782	332
935	4787	327
936	4792	322
937	4796	317
938	4801	311
939	4805	306
940	4809	301
941	4813	296
942	4819	291
943	4823	286
944	4827	280
945	4832	275
946	4837	270
947	4842	265
948	4847	260
949	4853	255
950	4858	250
951	4862	245
952	4867	240
953	4871	234
954	4875	229
955	4880	224
956	4884	219
957	4889	214
958	4893	209
959	4898	204
960	4903	198
961	4907	193
962	4912	188
963	4917	183
964	4921	178
965	4925	173
966	4931	168
967	4935	163
968	4939	158
969	4943	152
970	4949	147
971	4953	142
972	4957	137
973	4962	132
974	4966	127
975	4970	122
976	4975	117
977	4980	112
978	4984	106
979	4988	101
980	4992	96
981	4997	91
982	5002	86
983	5007	81
984	5014	76
985	5019	71
986	5023	66
987	5030	61
988	5036	56
989	5041	50
990	5047	45
991	5051	40
992	5057	35
993	5063	30
994	5067	25
995	5072	20
996	5077	15
997	5082	10
998	5089	5
999	5095	0
