iter	Logloss
0	0.660740601
1	0.6314814867
2	0.6066536025
3	0.5851711495
4	0.5658912123
5	0.5487575657
6	0.5344550418
7	0.5215695022
8	0.510790719
9	0.500457246
10	0.4913736717
11	0.4830589734
12	0.4761754941
13	0.4690653842
14	0.4637587917
15	0.4591286531
16	0.4541091134
17	0.4502806561
18	0.4472260993
19	0.4432005514
20	0.4401397135
21	0.4372906734
22	0.4347330888
23	0.4321412395
24	0.4298968315
25	0.4279558269
26	0.4269591577
27	0.4250896748
28	0.4229442286
29	0.4213231702
30	0.4198346734
31	0.4182165319
32	0.4168054947
33	0.4158061396
34	0.4139469106
35	0.4127763694
36	0.4117827586
37	0.410442793
38	0.4093849839
39	0.4086655809
40	0.4079011039
41	0.4071550765
42	0.4063836842
43	0.4056743305
44	0.4049410894
45	0.4042809826
46	0.4035137682
47	0.4029251808
48	0.402361416
49	0.4017623648
50	0.4010552026
51	0.4004691386
52	0.3999609831
53	0.3994085059
54	0.3987650946
55	0.3981143506
56	0.3975786684
57	0.396985295
58	0.3966088689
59	0.3960537185
60	0.3955980584
61	0.3950821771
62	0.39444123
63	0.3941398813
64	0.3938696665
65	0.3933310293
66	0.392733708
67	0.3922550959
68	0.3917731749
69	0.3914085584
70	0.3910717868
71	0.3908096417
72	0.3903882715
73	0.3903506907
74	0.3901249958
75	0.389597545
76	0.3892852817
77	0.3886870505
78	0.388258392
79	0.3879491504
80	0.3876597154
81	0.3872983588
82	0.3870093864
83	0.3865318923
84	0.3861807134
85	0.385832022
86	0.3854803853
87	0.3852672712
88	0.3848583986
89	0.3843554367
90	0.3838479433
91	0.3834761771
92	0.3830887633
93	0.3825868364
94	0.3823936935
95	0.3816721523
96	0.3812945092
97	0.3810651261
98	0.3805293631
99	0.3801743651
100	0.379862638
101	0.3796400491
102	0.3791676477
103	0.3788309139
104	0.3782559307
105	0.3780137856
106	0.3776234753
107	0.3773321854
108	0.3767129349
109	0.3766834188
110	0.3763052429
111	0.3759924537
112	0.375636194
113	0.3753750766
114	0.375001516
115	0.374691747
116	0.3742683132
117	0.3742500834
118	0.373905133
119	0.3734397294
120	0.3731489477
121	0.3729118483
122	0.3726630438
123	0.3724831116
124	0.3721508985
125	0.3716717483
126	0.3713918721
127	0.3709548788
128	0.3707898371
129	0.3705411122
130	0.3703090047
131	0.3697712201
132	0.3693694252
133	0.369163257
134	0.3688874888
135	0.3686884458
136	0.3682838711
137	0.3679332313
138	0.367711977
139	0.3675039577
140	0.3671054472
141	0.3668857422
142	0.3664874286
143	0.3662751274
144	0.3661665337
145	0.365840865
146	0.3655094805
147	0.3650334316
148	0.3646436277
149	0.36412418
150	0.3637899031
151	0.3636533969
152	0.3632519577
153	0.3627586327
154	0.3624496616
155	0.3622553138
156	0.3619404125
157	0.3615414906
158	0.3613269188
159	0.3610431212
160	0.3607183757
161	0.3605062537
162	0.3603229124
163	0.3601151741
164	0.359892416
165	0.3595346177
166	0.3593947692
167	0.3590304991
168	0.3585915751
169	0.358362254
170	0.3580185607
171	0.3578774083
172	0.3576388848
173	0.3572340056
174	0.3570949515
175	0.3568732735
176	0.3564144544
177	0.3561048539
178	0.3559143626
179	0.3557493597
180	0.3555307274
181	0.3553273098
182	0.3549577679
183	0.3547762032
184	0.354622603
185	0.3543082263
186	0.3540099531
187	0.3538210825
188	0.3535246155
189	0.3532278225
190	0.3529086127
191	0.3525636044
192	0.3524591797
193	0.3521903518
194	0.3520500209
195	0.3518109956
196	0.3515350968
197	0.3512504091
198	0.3511063386
199	0.3509063954
200	0.3506991869
201	0.3504757041
202	0.3501469583
203	0.3498813355
204	0.3496169411
205	0.3494149107
206	0.3491295067
207	0.3489035571
208	0.3487507725
209	0.3484717183
210	0.3482724681
211	0.3480224178
212	0.3478035326
213	0.3475415318
214	0.3472004026
215	0.3470261317
216	0.346758977
217	0.3465173121
218	0.3463847718
219	0.3462361679
220	0.3461072647
221	0.3459526525
222	0.3458556526
223	0.3455424406
224	0.3454185809
225	0.3450885483
226	0.3449272458
227	0.3446615648
228	0.3445863553
229	0.3444511124
230	0.3440465997
231	0.343830244
232	0.3436172451
233	0.3433912161
234	0.343301944
235	0.3429256459
236	0.3428149965
237	0.3426922447
238	0.3424338574
239	0.3423349702
240	0.3421623251
